,ts_code,stock_name,industry,market,stock_beta
254,000887.SZ,中鼎股份,橡胶,主板,1.1782399558288694
255,000888.SZ,峨眉山A,旅游景点,主板,0.8124799230483142
256,000892.SZ,欢瑞世纪,影视音像,主板,0.7685678195975564
257,000895.SZ,双汇发展,食品,主板,0.9770912779658109
258,000897.SZ,津滨发展,区域地产,主板,0.8186824485653085
259,000898.SZ,鞍钢股份,普钢,主板,1.077768737845662
260,000899.SZ,赣能股份,火力发电,主板,0.7184741207500035
261,000901.SZ,航天科技,航空,主板,1.0281885112464262
262,000902.SZ,新洋丰,农药化肥,主板,0.7766518456218394
263,000903.SZ,云内动力,机械基件,主板,0.825972161761154
264,000905.SZ,厦门港务,港口,主板,0.953301868619917
265,000906.SZ,浙商中拓,批发业,主板,0.9369084946002905
266,000908.SZ,景峰医药,化学制药,主板,0.9893758607181792
267,000909.SZ,数源科技,综合类,主板,0.8539204531992357
268,000910.SZ,大亚圣象,家居用品,主板,1.0944515547090237
269,000911.SZ,南宁糖业,食品,主板,0.6643594050409786
270,000913.SZ,钱江摩托,摩托车,主板,0.9680249645346442
271,000915.SZ,山大华特,化学制药,主板,1.0970750538794012
272,000917.SZ,电广传媒,影视音像,主板,1.0729812174960847
273,000918.SZ,嘉凯城,全国地产,主板,1.1018340559644872
274,000919.SZ,金陵药业,化学制药,主板,0.8477624318183085
275,000920.SZ,南方汇通,环境保护,主板,0.9968038036058464
276,000921.SZ,海信家电,家用电器,主板,1.2862222197455577
277,000923.SZ,河北宣工,铜,主板,1.2251271150624772
278,000925.SZ,众合科技,专用机械,主板,1.1311452505779065
279,000927.SZ,一汽夏利,汽车整车,主板,0.7593755330769264
280,000928.SZ,中钢国际,建筑施工,主板,1.123838948432344
281,000929.SZ,兰州黄河,啤酒,主板,1.1240988300693544
282,000933.SZ,神火股份,煤炭开采,主板,1.534561310197219
283,000935.SZ,四川双马,水泥,主板,1.138227704787707
284,000936.SZ,华西股份,化纤,主板,1.09842966228024
285,000937.SZ,冀中能源,煤炭开采,主板,0.9162077843066402
286,000949.SZ,新乡化纤,化纤,主板,0.7370398793741427
287,000951.SZ,中国重汽,汽车整车,主板,1.1782877730139703
288,000952.SZ,广济药业,化学制药,主板,1.3090346694886714
289,000955.SZ,欣龙控股,纺织,主板,0.7191954436342727
290,000957.SZ,中通客车,汽车整车,主板,1.0983455626763412
291,000958.SZ,东方能源,火力发电,主板,1.0138760482765066
292,000959.SZ,首钢股份,普钢,主板,0.9440235239067774
293,000960.SZ,锡业股份,小金属,主板,1.324149444772183
294,000963.SZ,华东医药,化学制药,主板,1.1897653282700893
295,000965.SZ,天保基建,区域地产,主板,1.0443946784648421
296,000966.SZ,长源电力,火力发电,主板,0.7587936630857849
297,000968.SZ,蓝焰控股,煤炭开采,主板,1.2410476292355483
298,000969.SZ,安泰科技,钢加工,主板,0.9709482718973285
299,000970.SZ,中科三环,元器件,主板,1.110451986582287
300,000973.SZ,佛塑科技,塑料,主板,1.0840680661606787
301,000975.SZ,银泰资源,铅锌,主板,0.7618930124100683
302,000976.SZ,华铁股份,运输设备,主板,0.8491596132108805
303,000977.SZ,浪潮信息,电脑设备,主板,1.1654663182725538
304,000978.SZ,桂林旅游,旅游景点,主板,0.8036513800622578
305,000980.SZ,众泰汽车,汽车配件,主板,1.1184704859361136
306,000982.SZ,*ST中绒,纺织,主板,0.6134802387668931
307,000983.SZ,西山煤电,煤炭开采,主板,1.0732607809782992
308,000985.SZ,大庆华科,化工原料,主板,0.8949520611600452
309,000988.SZ,华工科技,电器仪表,主板,1.042621677075225
310,000989.SZ,九芝堂,中成药,主板,0.6726893083230888
311,000990.SZ,诚志股份,化工原料,主板,0.47842533199746295
312,000993.SZ,闽东电力,水力发电,主板,1.0558122492465496
313,000996.SZ,中国中期,汽车服务,主板,1.4057240124015016
314,000997.SZ,新大陆,软件服务,主板,1.099976209472206
315,000999.SZ,华润三九,中成药,主板,0.8772982491087054
316,001696.SZ,宗申动力,摩托车,主板,0.9167246816513057
317,001896.SZ,豫能控股,火力发电,主板,0.9834634292120751
318,001965.SZ,招商公路,路桥,主板,0.8831210257850048
319,001979.SZ,招商蛇口,全国地产,主板,1.4596964127155563
320,002001.SZ,新和成,化学制药,中小板,1.4333582599214278
321,002003.SZ,伟星股份,服饰,中小板,0.8160588746695303
322,002006.SZ,精功科技,专用机械,中小板,0.8261500124912219
323,002007.SZ,华兰生物,生物制药,中小板,0.8178533567700303
324,002008.SZ,大族激光,电器仪表,中小板,1.3387031343084879
325,002009.SZ,天奇股份,工程机械,中小板,1.225066256652868
326,002013.SZ,中航机电,航空,中小板,1.0619135343179753
327,002014.SZ,永新股份,塑料,中小板,0.7056554346041507
328,002016.SZ,世荣兆业,区域地产,中小板,1.6854962944048673
329,002017.SZ,东信和平,通信设备,中小板,1.1653368267853665
330,002019.SZ,亿帆医药,化学制药,中小板,1.084033436627224
331,002020.SZ,京新药业,化学制药,中小板,0.7294987939269966
332,002022.SZ,科华生物,医疗保健,中小板,1.0399848518421835
333,002023.SZ,海特高新,航空,中小板,0.7809267629319335
334,002024.SZ,苏宁易购,电器连锁,中小板,1.0697683272542167
335,002025.SZ,航天电器,元器件,中小板,1.040143613816422
336,002026.SZ,山东威达,机械基件,中小板,0.9465515959919385
